Land Area,Trade flow,Commodity,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Algeria,Export,Crustaceans,3591,4052,4415,4850,7089,9167,8867,8786,8074,5335,3584,4049,2771,2277,2849,2278
Algeria,Export,Fish,382,585,983,859,530,903,1677,1754,3154,2209,1357,443,1039,1755,1558,1486
Algeria,Import,Crustaceans,71,44,471,498,903,1178,796,1291,1407,2918,3135,4286,5138,6713,8239,7124
Algeria,Import,Fish,11990,13600,8206,15345,21798,19350,28950,25414,28891,49736,46003,52055,56841,81094,124682,99293
Angola,Export,Crustaceans,3425,4070,9755,2166,2347,9951,11648,7420,7876,7694,10559,6184,12125,14692,14774,16421
Angola,Export,Fish,4291,8007,6632,1937,1676,1522,6054,12913,25207,32468,28617,25652,44525,49679,49149,46693
Angola,Import,Crustaceans,95,156,399,287,277,718,889,1491,1127,3715,3030,4802,10197,5768,10838,5032
Angola,Import,Fish,16180,17751,17674,19950,31703,32338,59713,67985,121561,111642,119547,198178,331732,248574,306945,218737
Benin,Export,Crustaceans,1446,2337,3098,1862,627,945,1003,50,0,13,0,132,26,3,0,0
Benin,Export,Fish,21,13,15,30,25,0,141,334,33,79,1342,1130,347,373,919,243
Benin,Import,Crustaceans,11,3,42,1,0,163,228,0,1,0,1,8,28,13,14,1
Benin,Import,Fish,8577,4760,7872,10184,11235,15930,18794,24294,31851,27482,27322,32312,35186,38847,54557,61056
Botswana,Export,Crustaceans,8,8,1,5,6,0,0,6,3,8,3,0,0,0,0,46
Botswana,Export,Fish,26,53,64,44,26,80,42,10,19,271,131,192,458,504,215,631
Botswana,Import,Crustaceans,1197,725,320,225,207,87,137,192,135,170,163,326,85,126,242,292
Botswana,Import,Fish,8580,3410,3578,6309,6895,6821,6037,6732,8094,8987,12842,10765,13082,11426,13644,10879
Burkina Faso,Export,Fish,2,11,0,0,0,224,450,801,1159,1025,654,625,756,650,626,838
Burkina Faso,Import,Crustaceans,23,12,7,14,21,36,24,159,41,102,204,139,110,141,100,36
Burkina Faso,Import,Fish,1328,686,742,1124,1851,3816,4826,5594,6418,8606,8441,9536,10344,10414,11353,11071
Burundi,Export,Fish,132,183,163,137,162,173,214,228,207,226,184,217,180,320,324,215
Burundi,Import,Crustaceans,0,0,0,3,2,0,3,9,4,7,9,6,10,8,1,2
Burundi,Import,Fish,51,97,87,67,54,35,122,31,29,149,412,1241,2199,2469,2022,1712
Cabo Verde,Export,Crustaceans,243,4,332,403,766,388,464,385,22,431,438,903,1079,1262,262,159
Cabo Verde,Export,Fish,595,294,169,90,477,6771,10595,6624,8038,25013,36594,55147,43398,56967,67706,56636
Cabo Verde,Import,Crustaceans,35,37,42,92,97,168,217,282,433,316,315,561,530,721,816,605
Cabo Verde,Import,Fish,207,500,336,391,385,447,732,981,1789,1907,1404,2148,2381,2853,2644,2236
Cameroon,Export,Crustaceans,862,220,100,198,1,4,1,1,2,10,4,5,5,5,22,1
Cameroon,Export,Fish,76,145,29,113,50,97,896,1389,1355,2180,2855,1257,2404,2148,2582,1966
Cameroon,Import,Crustaceans,14,9,11,38,29,24,47,45,196,385,381,537,229,348,338,339
Cameroon,Import,Fish,27343,28552,23284,37269,44712,63251,76641,125716,176346,240923,185702,319592,247287,299051,303518,292535
Central African Republic,Export,Fish,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,Import,Crustaceans,2,0,0,4,0,3,0,0,0,2,0,0,0,4,27,48
Central African Republic,Import,Fish,215,259,352,1069,1091,1079,1317,1750,1999,2956,4033,3104,3020,2605,5677,7201
Chad,Export,Fish,2,0,1,0,0,9,0,263,35,30,49,43,45,53,54,49
Chad,Import,Crustaceans,1,0,8,18,45,43,54,89,16,22,78,18,4,56,128,88
Chad,Import,Fish,4,71,753,1104,169,142,624,419,259,579,746,687,1114,1085,1589,652
Comoros,Export,Crustaceans,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0
Comoros,Export,Fish,0,0,1,2,0,0,0,0,1,0,0,0,1,0,0,0
Comoros,Import,Crustaceans,21,9,0,0,0,0,0,0,0,0,1,0,1,1,10,11
Comoros,Import,Fish,314,425,229,623,859,709,728,463,1744,890,1167,535,1104,862,1352,1052
Congo,Export,Crustaceans,71,735,2144,3292,4331,46,2515,99,23,0,0,0,0,409,303,260
Congo,Export,Fish,2090,627,694,1012,809,1233,551,490,1040,918,893,831,415,313,566,676
Congo,Import,Crustaceans,0,9,0,0,23,10,17,43,44,356,120,499,792,270,236,201
Congo,Import,Fish,20567,24605,12263,9893,18013,10716,16298,11685,29936,20701,16727,33357,38380,64928,84103,70646
"Congo, Dem. Rep. of the",Export,Crustaceans,1,0,10,10,36,0,5,1,0,75,67,0,0,0,0,0
"Congo, Dem. Rep. of the",Export,Fish,585,334,316,423,410,419,388,401,390,514,650,700,767,787,1111,839
"Congo, Dem. Rep. of the",Import,Crustaceans,0,10,19,38,769,141,146,67,115,170,818,495,346,708,698,177
"Congo, Dem. Rep. of the",Import,Fish,26204,35629,38537,38584,44622,54291,62300,84939,93466,80694,111902,143916,141845,144325,159749,147421
C��te d'Iv,Export,Crustaceans,3309,3193,1439,1080,1031,519,791,527,1042,2588,897,700,110,581,919,258
C��te d'Iv,Export,Fish,124805,103672,138328,138587,157691,101906,123491,170228,195813,166000,101553,76061,114024,109672,93099,142987
C��te d'Iv,Import,Crustaceans,731,1041,1695,1429,2463,1433,1866,2763,3354,3683,3414,2113,2453,3260,2491,1446
C��te d'Iv,Import,Fish,131289,149112,178499,199603,186650,202213,228228,274757,391996,356475,254224,309381,323071,361120,392535,389841
Djibouti,Export,Crustaceans,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0
Djibouti,Export,Fish,18,73,64,88,3,11,94,4,0,2,28,6,2,4,1,3
Djibouti,Import,Crustaceans,43,20,15,22,15,158,31,47,269,384,54,63,69,36,215,199
Djibouti,Import,Fish,1436,882,606,612,1379,1103,2231,1934,2007,2384,1321,2201,2740,4772,2749,5057
Egypt,Export,Crustaceans,51,9,3,17,14,3,14,116,16,148,205,72,329,1405,2933,2957
Egypt,Export,Fish,911,794,1393,2181,2770,3222,2677,3664,9210,12307,12524,18134,15599,21997,28895,26686
Egypt,Import,Crustaceans,227,1244,729,320,2097,5337,10386,23695,45994,69350,70562,75676,118208,65583,84882,85184
Egypt,Import,Fish,134667,132230,92734,102314,122199,129395,150312,187276,313987,384549,407352,433562,597066,504884,628767,638461
Equatorial Guinea,Export,Crustaceans,0,0,2,20,75,27,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea,Export,Fish,1588,596,49,88,94,19,73,80,63,80,26,38,57,46,44,46
Equatorial Guinea,Import,Crustaceans,2,3,63,130,133,90,266,342,354,323,659,944,887,864,1163,901
Equatorial Guinea,Import,Fish,2626,5036,4626,8874,12215,11224,15810,17012,15615,25120,18302,21918,30494,28037,25201,17072
Eritrea,Export,Crustaceans,572,163,380,9,340,0,6,248,110,0,0,0,124,3,0,0
Eritrea,Export,Fish,1530,686,451,1533,148,45,73,201,248,160,12,7,66,0,0,0
Eritrea,Import,Crustaceans,0,34,29,3,12,22,15,3,0,15,10,13,0,6,0,7
Eritrea,Import,Fish,117,204,276,819,368,166,467,228,315,84,229,32,278,131,208,52
Ethiopia,Export,Fish,13,16,49,51,14,4,296,597,394,263,446,424,476,406,486,524
Ethiopia,Import,Crustaceans,0,0,0,0,3,5,5,20,90,145,135,184,200,686,288,158
Ethiopia,Import,Fish,101,39,420,551,274,489,1002,751,1569,898,1088,1395,1898,2739,3464,3386
Gabon,Export,Crustaceans,11305,8994,8821,9105,16989,21986,13526,12169,4380,432,137,0,491,12,6,0
Gabon,Export,Fish,1279,731,1675,691,2382,2298,2324,2633,3036,1708,1470,1639,2569,2716,3003,3314
Gabon,Import,Crustaceans,63,14,28,54,36,66,44,126,209,218,188,198,530,617,955,437
Gabon,Import,Fish,9670,10429,1611,7386,9724,11062,12919,13391,17056,19064,21381,33020,37421,40412,59053,53318
Gambia,Export,Crustaceans,1935,696,232,92,73,439,55,416,30,14,55,0,34,36,93,37
Gambia,Export,Fish,1353,584,737,201,206,463,260,2438,2198,5041,6429,2833,2230,1517,1745,1183
Gambia,Import,Crustaceans,18,405,12,0,9,11,0,0,13,0,0,8,3,1,117,180
Gambia,Import,Fish,471,683,433,278,475,344,556,845,787,775,1477,748,429,373,224,389
Ghana,Export,Crustaceans,935,947,528,1088,276,824,1217,2069,620,89,21,680,19,390,521,164
Ghana,Export,Fish,76795,82431,75355,119106,92478,95718,49484,57427,43394,53653,54758,55492,61451,59695,59279,70468
Ghana,Import,Crustaceans,3,4,32,189,105,193,130,333,134,259,60,627,308,217,374,190
Ghana,Import,Fish,82848,90611,120384,55746,116504,180676,121129,163987,121274,115997,141579,266918,232386,360111,253611,255438
Guinea,Export,Crustaceans,675,588,365,799,120,22,11,0,0,998,509,455,456,200,49,5
Guinea,Export,Fish,4103,4040,2469,3600,6767,9960,7004,4583,5482,6049,6933,7039,8256,7822,13263,10585
Guinea,Import,Crustaceans,2,4,1,0,0,0,0,0,0,6,1,7,19,13,11,2
Guinea,Import,Fish,291,1164,862,1408,514,613,314,606,917,1591,1901,1995,2520,2458,2161,1982
Guinea-Bissau,Export,Crustaceans,204,443,553,748,362,480,234,0,0,0,0,0,1,0,0,0
Guinea-Bissau,Export,Fish,1876,1990,3240,1784,2487,3021,2986,2883,2232,2059,3438,2681,2229,3102,3960,4748
Guinea-Bissau,Import,Crustaceans,0,0,0,0,0,0,64,79,0,0,0,0,0,3,6,3
Guinea-Bissau,Import,Fish,283,155,138,229,282,404,321,1373,1684,1456,708,1246,1210,1263,918,774
Kenya,Export,Crustaceans,1268,2411,1327,3961,2808,2464,2297,1131,1626,295,339,625,285,460,1229,818
Kenya,Export,Fish,36839,46283,53599,50950,48472,56596,51539,58776,71672,55001,61135,50666,59811,37098,44789,30232
Kenya,Import,Crustaceans,11,16,103,105,57,30,14,4,0,59,43,168,450,663,732,722
Kenya,Import,Fish,4096,4851,2194,2596,3819,5891,5979,8313,5790,6325,7530,11258,11398,14427,20885,18718
Lesotho,Export,Crustaceans,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
Lesotho,Export,Fish,0,1,12,8,9,0,0,0,56,370,685,614,488,722,2017,2660
Lesotho,Import,Crustaceans,32,15,22,85,6,0,0,0,62,183,466,251,110,34,68,14
Lesotho,Import,Fish,7752,2176,3634,4035,2594,1979,1957,1975,2525,3742,3384,6255,5919,5469,10628,8898
Liberia,Export,Crustaceans,0,38,0,140,216,22,46,13,3,0,0,0,39,0,4,0
Liberia,Export,Fish,49,43,80,38,167,369,593,617,639,996,1199,693,601,541,417,436
Liberia,Import,Crustaceans,223,13,103,8,34,92,71,160,156,171,91,56,93,105,445,278
Liberia,Import,Fish,2531,2201,1298,2197,2122,3014,3816,2757,5965,3373,5301,6260,9899,11581,16697,11966
Libya,Export,Crustaceans,0,0,1,0,0,0,1,0,0,85,12,0,0,0,1,0
Libya,Export,Fish,11786,7479,10543,10470,11802,14371,7646,8987,7581,5428,6457,3988,8959,9979,14023,16875
Libya,Import,Crustaceans,39,49,73,93,148,82,39,10,0,351,810,412,519,1330,1651,796
Libya,Import,Fish,8990,9214,9583,6715,7254,19700,33047,33119,35009,38973,69837,80637,144123,147188,157974,141533
Madagascar,Export,Crustaceans,13150,91700,117708,39179,29726,102822,109595,133589,118274,84028,66991,103974,66427,76753,98855,66410
Madagascar,Export,Fish,21292,32858,31532,44766,41393,25103,47121,46675,36164,25848,41277,48849,41346,47991,53683,41873
Madagascar,Import,Crustaceans,24,310,3,2,1,4685,966,1350,995,9,127,2331,398,172,10,131
Madagascar,Import,Fish,6632,8293,13641,16512,13623,12918,30973,55444,24870,17570,25936,38793,31811,39280,31729,20096
Malawi,Export,Fish,143,61,122,560,733,354,1554,259,294,198,276,451,270,254,156,136
Malawi,Import,Crustaceans,0,7,4,5,1,1,1,0,0,2,17,7,20,65,96,164
Malawi,Import,Fish,515,278,240,703,522,331,1061,991,1218,2027,1298,1377,967,1772,2471,2283
Mali,Export,Fish,416,251,200,92,115,62,281,926,130,165,84,249,60,102,204,68
Mali,Import,Crustaceans,26,16,11,49,37,38,12,4,9,41,111,7,130,63,369,766
Mali,Import,Fish,1698,1131,649,2366,3424,5217,6478,6832,7786,9601,11538,11042,11247,13008,24304,19592
Mauritania,Export,Crustaceans,3400,5381,5548,5052,3626,1070,1683,5554,5300,1770,12081,21831,12801,6400,24308,17763
Mauritania,Export,Fish,36988,35521,39590,32630,27083,35042,37061,56829,65239,33684,71179,119067,142248,143185,186394,203316
Mauritania,Import,Crustaceans,0,0,0,0,0,0,19,0,0,0,0,0,0,16,36,30
Mauritania,Import,Fish,29,29,57,61,12,105,120,161,191,430,827,665,737,938,1284,1265
Mauritius,Export,Crustaceans,1,1,0,295,42,0,42,37,1,0,0,1,0,3,0,0
Mauritius,Export,Fish,36607,63188,68396,74388,83797,109301,158128,194651,213734,215488,252987,270101,337159,369271,351611,270489
Mauritius,Import,Crustaceans,5110,6050,4393,5665,6994,7057,8472,11153,12646,9939,10870,12904,14611,13030,14112,12853
Mauritius,Import,Fish,33459,44762,121212,84206,105693,133376,200247,211284,285827,220740,218350,281264,366599,364567,317464,242975
Mayotte,Export,Crustaceans,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
Mayotte,Export,Fish,10,165,674,1055,746,689,851,837,868,748,741,762,634,588,450,0
Mayotte,Import,Crustaceans,111,181,128,242,177,227,238,350,425,319,182,51,74,28,0,0
Mayotte,Import,Fish,885,1184,1533,1759,1811,2095,2592,2508,4037,2940,2478,3351,3380,3469,3002,2662
Morocco,Export,Crustaceans,55810,53249,55693,62062,58360,89051,106168,154237,153437,150026,173999,199791,203296,191806,205307,182848
Morocco,Export,Fish,307915,356523,383094,508526,503125,585712,697899,718563,858728,853439,810069,723105,879252,947687,981028,908832
Morocco,Import,Crustaceans,2723,1844,2461,3810,3401,3960,11938,21553,30608,40385,70289,90872,91307,96632,103233,93137
Morocco,Import,Fish,4590,6211,8954,14718,26813,29543,43518,35065,35651,45477,41760,46355,35073,50792,81391,68896
Mozambique,Export,Crustaceans,95903,94028,117069,79036,94746,77975,90816,65824,68668,60392,52319,44962,19779,35896,50770,30651
Mozambique,Export,Fish,3482,5229,4807,16518,4843,5359,5299,3907,6566,4799,4113,5121,5288,6014,8034,5679
Mozambique,Import,Crustaceans,557,2,5,16596,17,13,107,220,23,15,4,61,70,174,216,160
Mozambique,Import,Fish,7958,7680,10494,15736,26932,30306,30809,25902,38097,39362,35387,57727,49510,93198,91658,85165
Namibia,Export,Crustaceans,6785,9616,10609,3347,7330,9020,9902,9067,12287,13485,10950,14476,9223,10801,17513,15005
Namibia,Export,Fish,268733,306824,257317,312975,332507,349726,422650,465366,542235,671125,734466,721239,712322,745375,672896,573700
Namibia,Import,Crustaceans,302,272,113,87,194,347,1516,1020,1480,4577,1608,1423,990,1904,1853,1288
Namibia,Import,Fish,19290,11194,6626,8817,16536,18040,17819,32627,31925,44650,33498,28658,25011,24906,27574,28803
Niger,Export,Fish,1599,4330,4344,4841,3308,2229,547,309,386,326,563,789,773,1112,1037,260
Niger,Import,Crustaceans,4,4,3,2,3,3,7,6,4,6,11,15,14,15,9,23
Niger,Import,Fish,497,614,249,428,493,572,784,749,1293,1341,1784,1168,1993,2249,2032,5839
Nigeria,Export,Crustaceans,11387,10579,14882,15140,26300,53496,42895,46310,70180,152830,160282,82509,78822,175644,93563,69142
Nigeria,Export,Fish,1085,1809,1778,2015,3567,2676,844,3089,1983,433,533,18002,20938,87466,8075,8710
Nigeria,Import,Crustaceans,8,0,31,11,96,40,140,179,0,135,180,8765,1285,8163,972,2586
Nigeria,Import,Fish,179520,447538,360586,480368,499011,607887,765042,884338,609944,772156,928752,1951132,1419637,1174951,1310608,1198997
Rwanda,Export,Crustaceans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
Rwanda,Export,Fish,0,0,0,0,0,57,1,21,91,287,200,83,231,149,1179,2064
Rwanda,Import,Crustaceans,29,4,0,17,0,3,2,3,4,8,5,11,7,5,39,27
Rwanda,Import,Fish,82,112,173,118,27,34,453,3022,1783,2358,3786,6643,8203,8729,17966,21973
Saint Helena,Export,Crustaceans,3806,4899,4436,4247,3462,3163,2969,3143,5615,5436,6353,4223,5982,6116,4896,5682
Saint Helena,Export,Fish,189,1273,2493,1214,1949,1839,2259,4640,7670,3975,3328,6972,4038,3663,5983,11931
Saint Helena,Import,Crustaceans,0,58,0,195,111,7,90,5,8,5,1,3,3,15,81,28
Saint Helena,Import,Fish,220,78,75,126,35,197,421,110,51,35,79,40,24,90,117,96
Sao Tome and Principe,Export,Crustaceans,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,Export,Fish,57,270,77,0,0,0,16,6,1,2,2,0,0,1,3,4
Sao Tome and Principe,Import,Crustaceans,0,1,0,2,2,3,9,10,39,30,26,43,55,85,86,83
Sao Tome and Principe,Import,Fish,63,6,15,26,18,14,64,131,123,125,117,249,262,282,259,170
Senegal,Export,Crustaceans,53603,75090,29159,41280,44710,45912,39597,31516,18554,20602,28519,26645,22288,26521,30554,28963
Senegal,Export,Fish,152136,156250,120283,139838,196807,155348,153569,200877,155116,171538,166681,198064,175546,227059,306758,259976
Senegal,Import,Crustaceans,269,151,235,43,116,99,56,50,67,52,74,80,78,190,26,103
Senegal,Import,Fish,1010,636,353,482,1243,1015,898,1812,2536,953,5480,16861,14069,18641,14467,19525
Seychelles,Export,Crustaceans,3208,2158,1308,7643,7765,5859,4575,2600,2416,208,3,0,0,0,0,55
Seychelles,Export,Fish,109941,142740,164825,286569,262203,288904,282871,277589,313959,303074,275240,351742,493120,479558,414363,360499
Seychelles,Import,Crustaceans,398,251,152,483,648,537,796,1547,1445,467,1971,2653,2211,1457,2302,3059
Seychelles,Import,Fish,9817,13941,22404,65601,73871,76962,94100,79405,61366,86205,94602,128688,145268,140867,127088,92943
Sierra Leone,Export,Crustaceans,3472,3742,8107,10997,8154,8318,6348,5522,4920,4812,5015,4750,5269,4650,3700,3600
Sierra Leone,Export,Fish,7488,7145,5229,4261,4313,4738,4733,5069,5046,5556,5541,5795,6068,6087,6141,6607
Sierra Leone,Import,Crustaceans,69,400,43,207,67,10,9,2,7,4,3,12,70,44,612,256
Sierra Leone,Import,Fish,929,1672,764,3131,1785,1945,1632,3557,3380,4048,2798,3309,2660,3344,4090,3518
Somalia,Export,Crustaceans,18,8,145,1,171,364,124,0,2286,3,113,644,337,132,22,109
Somalia,Export,Fish,2280,2960,2073,1113,2590,2276,2094,2639,2127,3064,1268,1460,686,943,1699,3217
Somalia,Import,Crustaceans,0,0,0,0,0,0,80,0,0,11,8,0,96,0,6,33
Somalia,Import,Fish,100,29,313,392,772,830,3970,2666,3745,5488,2849,6163,6301,11489,12038,15265
South Africa,Export,Crustaceans,34039,38654,45243,50662,66645,71128,62777,84163,75622,75530,88208,94846,89210,95877,103297,66326
South Africa,Export,Fish,190702,205281,211179,244797,238624,267883,236574,292138,316398,268698,283605,323177,302262,307399,356184,273069
South Africa,Import,Crustaceans,13020,13779,11674,15140,27697,40795,46305,49509,44150,48247,44502,74369,57616,74268,68420,43747
South Africa,Import,Fish,28431,30231,26911,44058,53690,58943,80921,115279,157881,181348,165281,159521,263633,265207,320346,248382
South Sudan,Export,Fish,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
South Sudan,Import,Fish,0,0,0,0,0,0,0,0,0,0,0,0,366,1011,575,604
Sudan,Export,Fish,0,0,0,0,0,0,0,0,0,0,0,0,169,223,772,1061
Sudan,Import,Crustaceans,0,0,0,0,0,0,0,0,0,0,0,0,97,262,54,0
Sudan,Import,Fish,0,0,0,0,0,0,0,0,0,0,0,0,5174,7074,5697,6308
Sudan (former),Export,Crustaceans,0,0,5,2,7,0,0,3,8,3,0,3,0,0,0,0
Sudan (former),Export,Fish,79,167,384,459,791,639,53,187,313,143,23,171,0,0,0,0
Sudan (former),Import,Crustaceans,0,0,0,0,0,5,48,22,124,182,291,120,0,0,0,0
Sudan (former),Import,Fish,328,226,405,276,137,373,2145,2835,1803,4382,3286,7719,0,0,0,0
Swaziland,Export,Crustaceans,1312,715,930,1158,3875,1085,49,0,0,0,0,0,7,0,0,0
Swaziland,Export,Fish,1259,842,1660,713,1512,768,130,32,167,178,152,110,9,0,5,0
Swaziland,Import,Crustaceans,1611,667,876,1305,3236,976,457,141,418,1,18,220,158,94,142,138
Swaziland,Import,Fish,6442,4651,4965,7866,10414,9224,5724,5005,3650,3502,3350,3371,3985,4766,8141,7352
"Tanzania, United Rep. of",Export,Crustaceans,8704,10733,11597,13075,11085,15069,5780,4804,3935,2181,1511,1691,2934,2602,4440,5377
"Tanzania, United Rep. of",Export,Fish,84748,98730,104043,116889,102107,124189,121880,153526,171022,137855,101178,88807,97792,75953,155175,150466
"Tanzania, United Rep. of",Import,Crustaceans,89,414,4,6,38,130,10,16,1,22,3,5,1,7,2,26
"Tanzania, United Rep. of",Import,Fish,355,349,116,574,548,403,1021,2269,3852,3958,3253,2146,3913,5869,18113,17251
Togo,Export,Crustaceans,311,190,0,0,22,0,13,0,90,0,0,0,4,12,0,20
Togo,Export,Fish,2677,5297,10120,2724,10300,4187,4211,2321,3539,5356,4401,4335,2900,1153,2181,1899
Togo,Import,Crustaceans,6,7,20,75,31,0,27,132,0,4,0,3,5,0,2,14
Togo,Import,Fish,11703,13437,6862,7521,4921,8672,7707,7667,7150,10083,24336,32562,32207,31974,29924,37278
Tunisia,Export,Crustaceans,54094,38503,32647,42051,44124,47611,49976,44509,50556,38142,37248,41423,30206,43318,47739,51930
Tunisia,Export,Fish,18481,24973,29361,22469,41846,66813,72868,91536,105545,78802,65757,90860,79375,89437,71754,68832
Tunisia,Import,Crustaceans,327,230,445,514,185,622,512,1241,1502,3172,4784,3623,3253,1232,522,782
Tunisia,Import,Fish,11023,18089,17326,35041,27482,39083,45618,49834,64386,61897,60154,68144,76276,71854,72754,52320
Uganda,Export,Crustaceans,0,40,0,52,0,1,2,0,56,0,7,0,34,5,0,0
Uganda,Export,Fish,28722,49591,85781,84593,99996,138911,140694,118084,118985,109167,124825,125856,122049,123929,134489,117060
Uganda,Import,Crustaceans,20,13,18,17,18,22,40,83,118,100,117,81,90,135,166,225
Uganda,Import,Fish,65,21,64,1000,121,531,139,576,720,654,1358,2580,3648,2219,3444,2176
Zambia,Export,Crustaceans,0,0,0,0,7,0,0,0,0,0,0,13,0,0,0,0
Zambia,Export,Fish,418,308,858,897,997,3418,357,384,1295,1090,905,530,465,431,725,501
Zambia,Import,Crustaceans,16,53,30,34,22,18,49,86,21,31,90,194,318,457,697,368
Zambia,Import,Fish,1196,984,1737,3337,2935,5093,5386,8423,5260,6259,8024,16945,31887,51001,77625,113357
Zimbabwe,Export,Crustaceans,6,16,2,0,4,0,0,1,0,0,0,0,3,0,0,0
Zimbabwe,Export,Fish,4299,3462,2387,2495,2459,1819,4673,3020,1453,2157,3246,4826,6596,8776,15321,12518
Zimbabwe,Import,Crustaceans,455,181,187,103,97,1361,148,185,50,112,188,238,194,633,512,581
Zimbabwe,Import,Fish,7210,2962,1801,1432,2563,494,3280,2035,2871,4653,17878,22833,23457,27840,24998,25749
